case_no,title,date,case_link,division,ponente,dispositive position,votes,Gesmundo,Leonen,Caguioa,Hernando,Lazaro-Javier,M. Lopez,Inting,Zalameda,Gaerlan,Rosario,J. Lopez,Dimaampao,Marquez,Kho,Singh
G.R. No. 264268,"CHRIS ART L. NORMANDY, OWNER, VALKYRIE CONSTRUCTION, PETITIONER, VS. MARY ANN CABAILO, RESPONDENT.",7/22/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69618,THIRD DIVISION,SINGH,"Accordingly, the complaint filed against CHRIS ART L. NORMANDY is DISMISSED on the ground of lack of jurisdiction on the part of the Department of Trade and Industry.SO ORDERED. Inting** (Acting Chairperson), Gaerlan, and Dimaampao, JJ., concur.Caguioa* (Chairperson), J., on official leave.* On official leave.** Per Special Order No. 3116 dated July 18, 2024."," Inting** (Acting Chairperson), Gaerlan, and Dimaampao, JJ., concur.Caguioa* (Chairperson), J., on official leave.* On official leave.** Per Special Order No. 3116 dated July 18, 2024.",,,OL,,,,C,,C,,,C,,,P
G.R. No. 250313,"HEDCOR, INC., PETITIONER, VS. COMMISSIONER OF INTERNAL REVENUE, RESPONDENT.",7/22/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69658,SECOND DIVISION,KHO,"ACCORDINGLY, the Petition is GRANTED. The Decision dated April 8, 2019 and the Resolution dated November 15, 2019 of the Court of Tax Appeals En Banc in CTA EB No. 1761 are hereby REVERSED and SET ASIDE. CTA Case No. 8990 is REMANDED to the Court of Tax Appeals Second Division for the determination of the amount of unutilized Input Value-Added Tax attributable to Hedcor, Inc.'s zero-rated and effectively zero-rated sales during the third quarter of Calendar Year 2012, and for the resolution of CTA Case No. 8990 on the merits, in accordance with this Decision, with dispatch.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and J. Lopez, JJ., concur."," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and J. Lopez, JJ., concur.",,C,,,C,C,,,,,C,,,P,
G.R. No. 235673,"PHILIPPINE NATIONAL CONSTRUCTION CORPORATION, PETITIONER, VS. FELIX M. ERECE, JR., JANICE DAY E. ALEJANDRINO, MIRIAM M. PASETES, YOLANDA C. MORTEL, AND HENRY B. SALAZAR, RESPONDENTS.",7/22/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69584,THIRD DIVISION,INTING,"WHEREFORE, the Petition for Review on Certiorari is DENIED. The Decision dated May 30, 2017 and Resolution dated November 8, 2017 of the Court of Appeals in CA-G.R. SP No.146350 are AFFIRMED with MODIFICATION, in that the order to remand the case to the National Labor Relations Commission is DELETED, and respondents' Complaint before the Labor Arbiter in NLRC NCR Case No. 05-06083-15 is DISMISSED for lack of merit.SO ORDERED. Gaerlan, Dimaampao, and Singh, JJ., concur.Caguioa* (Chairperson), J., on official leave.* On official leave.** Acting Chairperson per S.O. No. 3116 dated July 18, 2024."," Gaerlan, Dimaampao, and Singh, JJ., concur.Caguioa* (Chairperson), J., on official leave.* On official leave.** Acting Chairperson per S.O. No. 3116 dated July 18, 2024.",,,OL,,,,P,,C,,,C,,,C
G.R. No. 210970,"LOCAL WATER UTILITIES ADMINISTRATION, PETITIONER, VS. R.D. POLICARPIO & CO., INC., RESPONDENT.",7/22/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69653,THIRD DIVISION,SINGH,"ACCORDINGLY, the Petition for Review on Certiorari is DENIED for lack of merit. The Decision, dated December 17, 2012, and the Resolution, dated January 15, 2014, of the Court of Appeals in CA-G.R. SP No. 119019, are AFFIRMED. SO ORDERED. Inting** (Acting Chairperson), Gaerlan, and Dimaampao, JJ., concur. Caguioa* (Chairperson), J., on official leave. * On official leave. ** Per Special Order No. 3116 dated July 18, 2024. "," Inting** (Acting Chairperson), Gaerlan, and Dimaampao, JJ., concur. Caguioa* (Chairperson), J., on official leave. * On official leave. ** Per Special Order No. 3116 dated July 18, 2024. ",,,OL,,,,C,,C,,,C,,,P
G.R. No. 263060,"PINAG-ISANG LAKAS NG MGA MANGGAGAWA SA LRT (PIGLAS), SAMMY MALUNES, LORNA F. SALON, RONALDO I. ESTRELLA, MANOLO E. SANTOS, JAYSON P. LIWAG, FLORIFE A. BLAS, JOEY A. LOBERIANO, JAIME D. BARCOMA, ALLAN M. MARANG, CATALINO M. MELEGRITO, JOHN M. BISCOCHO, RODRIGO C. SARASUA, ROLANDO M. PEREZ, EDUARDO O. ROQUE, RUFINO B. GAURANO, JR., PAUL V. LEGASPI, PONCIANO M. ZAMORA, JOHN R. NU‚àö√´EZ, JOEY J. SABANAL, LILIBETH R. CASI‚àö√´O, EUCLIDA S. GAURANO, NATALIA A. PAYONGAYONG, JUSTINO B. ASAYTUNO, JR., EDUARDO S. MA‚àö√´OSCA, ALBERTO S. ASIS, JR., WILHEMINE T. POLINTAN, RONALDO A. GELLE, VICENTE RAMIREZ, JOEL G. EVANGELISTA, RICARDO C. SANTOS, MAXIMO VITANGCOL, ARNOLD E. ESTORES, ANTONIO VILLAMOR, JR., BENJAMIN CANDOLE, ORLANDO MACAYBA, EDUARDO L. BERBA, HERNANI M. LIBANTINO, ESTELA R. ATIENZA, CARLITO R. MANZANILLA, EDMUNDO B. QUEMADA, CRISPIN G. YAPCHIONGCO, TEOFILO RIZ L. MOCORRO, JR., EDGARDO F. VICILLAJE, EDWARD M. DIAZ, RENATO L. TAPALLA, ARIEL I. DIMAWALA, RAMIR R. GORDO, MATEO C. HAO, JR., BENJAMIN A. ABIDIN, BRENDO M. MAKILING, MARITO N. HEBREO,[*] DANIEL F. IJIRAN, WILFREDO G. DE RAMOS, EDITHA L. DELA ROSA, FERNANDO C. MALLARI, RODOLFO V. GAMBOA, MARILYN M. BRAVO, ALBERTO O. BRAVO, GENEROSO C. RAPOSA, REINERIO V. RIPAY, EDWARD F. MARIANO, REGGIE B. FELIXMENIA, DESIDERIO S. MOSQUEDA, JR., ELIZALDE D. JANAPIN, APOLINARIO M. POLGEN, CYRIL T. MAYOR, VICTOR C. SANCHEZ, EDMUNDO A. LIONGSON, JR., ALBERTO T. DELA CRUZ, ROGELIO V. LUMABAN, SANTIAGO D. CLARIN, ROLANDO P. DE GUZMAN, CARLOS O. SAMONTE, JR., RICARDO B. A‚àö√´O, JR., ALFONSO C. TRINIDAD, JR., MELCHOR C. REGALADO, ARTHUR B. HERMITANIO, ALEJANDRO M. DIAZ, RONNIE M. GONZALES, DENNIS T. CRUZ, ROSELL L. VILLANUEVA, ELMER B. CRUZ, MAYNARDO MAUR A. MENDELBAR, EDGARDO L. ESPINOSA, JESSIE A. DUQUE, MARIO S. DELA CRUZ, CRISANTO S. MAGNAYE, AGRIPINO A. GOROSPE, JR., ELPIDIO P. VARGAS, REDEN A. NOLASCO, ERNESTO A. SERENA, RHODELIO G. CRUZ, RODOLFO C. CAMERINO, CARLOS D. BANDILLA, MELCHOR G. ALARCON, EDWIN R. JUAT, MANUEL M. FLOGIO, REYNALDO S. DEL ROSARIO, RAMON R. AMIGLEO, FELIX N. ARRIOLA, PASCUAL D. PARAGAS, GLICERIO M. SAYAT, JR., RICARDO D. EVANGELISTA, JOSELITO G. CONCIO, RAMON R. CAGUIAT, WILLIAM O. VILLANUEVA, ROMEO F. MIRAFUENTE, JOSE MARI A. CENIDOZA, ROMEO G. TAGUD, QUIGAO ROMULO, EDUARDO DELA CRUZ SANTOS, MICHAEL ROMBLON, ROMEO M. PLAGANAS, JAIME C. ABULENCEA,[**] RICARDO D. DALUSONG, DANA S. KINGKING, ELMER BOBADILLA, DELIA C. CUPCUPIN, MARLON E. SANTOS, ALLAN J. CORTEZ, JOENEL G. BALIGUAT, JOEL A. MARA‚àö√´O, EDUARDO A. AGUILA, ARIEL A. BUSTAMANTE, BERNARDINO G. MATIAS, AQUILINO J. EBEN, CRISENDO C. CASAS, ENRIQUE L. FLORES, EDGARDO C. RAMOS, EXEJESON EVANGELO B. RUAZOL, LEOPOLDO M. CAZE‚àö√´A, SERWIN S. BARRERA, GERARDO R. DE GUZMAN, VALENTIN D. BORBON, LAURENCE B. SACDALAN, NOEL B. ESGASANE, RONILO C. DE VERA, GUILLERMO H. DUMAN, PEDRO G. TESIORNA, CEZAR BATTUNG, ALLAN R. ATURBA,[***] MICHAEL A. GUINTO, FRANCISCO F. FLORES, MAURICIO O. DELA CRUZ, JR., ATILANO G. JOB, RUBEN T. BERNAL, AGNES V. DELA CRUZ, DANTE P. MENDOZA, LARRY M. HERNANDEZ, MARIA RUTCHIE R. RELIMBO, EMERSON R. LUMABI, WILFREDO R. BANDIALA, JEREMIAH V. MAHINAY, RAYMUNDO C. LITAN, JR., CESAR B. CUENCO, JR., REYNALDO T. IGNACIO, JOSEPH P. RODRIGUEZ, CESAR CA‚àö√´ETE, NELSON J. LABAYO, CLARYMAR D. ESTOQUE, GODOFREDO M. BELINO, ARTEMIO B. SALIG, ARNOLD M. DIMALANTA, RAINERO L. GAKO, NEPTALE S. PADASAS, NELFRED M. DELETINA, ANASTACIO G. JANAVAN, JR., ROBINSON D. VINZON, SILVESTRE ALVANO, WILFREDO R. BANDILA, RODOLFO C. HERESE, DANILO A. MARIANO, MEDWIN MESINA, LARRY ORATE, DANILO RIVERA, RUEL MAGBALANA, GODOFREDO BUENO, LARRY TAN, JOSE MARI A. CENIDOZA, HAROLD FLORES, ANTONIO H. BALANGUE, JR., (DEC.) REP. BY WIFE, DINAH E. BALANGUE, RONALD G. REYES (DEC.) REP. BY WIFE EMELITA G. REYES, TERESITA M. VELASQUEZ (DEC.) REP. BY SISTER LOLITA V. BALANSAG, PAMPILO P. BALASBAS (DEC.) REP. BY DAUGHTER LILETH A. BALASBAS, ISIDRO T. CORTES (DEC.) REP. BY WIFE MARILOU M. CORTES, ARMANDO NODADO (DEC.) REP. BY GLICERIA V. NODADO, RICARDO PATRIARCA, JR., (DEC.) REP. BY WIFE JOSEPHINE G. PATRIARCA, ARNOLD DV. MENDOZA (DEC.) REP. BY WIFE CECILIA T. MENDOZA, VIRGILIO C. CRUZ (DEC.) REP. BY WIFE ALMIRA CRUZ, DANILO P. YU (DEC.) REP. BY WIFE ANGELINA G. YU, JESUS C. FAJARDO (DEC.) REP. BY WIFE RODELYN R. FAJARDO, TEOFANES G. TESIORNA (DEC.) REP. BY WIFE WILMA P. TESIORNA, GREGORIO P. SALVEDIA (DEC.) REP. BY WIFE VERONICA G. SALVEDIA, PETER C. DIA (DEC.) REP. BY DAUGHTER DIANA F. DIA, REYNALDO C. VERANO (DEC.) REP. BY WIFE MA. VICTORIA A. VERANO, ARIEL A. MAGNO (DEC.) REP. BY WIFE VICTORIA R. MAGNO, ALBERTO H. RAMOS (DEC.) REP. BY SON ALBERTO Y. RAMOS, JR., ANTONIO V. LEGASPI (DEC.) REP. BY WIFE EMILY P. LEGASPI, AURELIO A. PAGTAKHAN (DEC.) REP. BY ANTONETTE C. PAGTAKHAN, EDMUNDO G. GONZALES (DEC.) REP. BY WIFE IMELDA N. GONZALES, RESTITUTO FELIPE (DEC.) REP. BY SON JIMMY A. FELIPE, ARNULFO S. DE LARA (DEC.) REP. BY WIFE ZENAIDA DE LARA, VICTOR BABIERA, ANTHONY DE LUNA, ELMER CRUZ, GIOVANNI V. MUESCAN, MA. ELIZABETH M. REYES, EDISON JOSE Z. DORDAS, GEORGE B. DELA CUEVA, ENRIQUE P. ESPA‚àö√´OL, LUISITO C. DELA CRUZ, JOSE EDWIN S.J. BORJA, ROLANDO B. CANLAS, AND LEUVINO M. DE LIMA, PETITIONERS, VS. COMMISSION ON AUDIT (COA), LIGHT RAIL TRANSIT AUTHORITY (LRTA) AND METRO TRANSIT ORGANIZATION, INC. (MTOI), RESPONDENTS.",7/23/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69611,EN BANC,HERNANDO,"ACCORDINGLY, the instant petition is DISMISSED.The Commission on Audit's Decision No. 2020-556 dated December 17, 2020 and Resolution No. 2022-009 dated January 28, 2022, in COA C.P. Case No. 2018-559, are AFFIRMED.SO ORDERED. Gesmundo, C.J., Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Leonen, SAJ., see dissenting opinion.Caguioa,* J., on official business.Lazaro-Javier, J., I join the dissent of SAJ Marvic Leonen.* On official leave.[*] Also referred to as ""Marito N. Hebrero"" in some parts of the rollo.[**] Also referred to as ""Jaime C. Abulencia"" in some parts of the rollo.[***] Also referred to as ""Allan R. Artuba"" in some parts of the rollo."," Gesmundo, C.J., Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Leonen, SAJ., see dissenting opinion.Caguioa,* J., on official business.Lazaro-Javier, J., I join the dissent of SAJ Marvic Leonen.* On official leave.[*] ",C,D,OL,P,D,C,C,C,C,C,C,C,C,C,C
G.R. No. 252124,"BOHOL WISDOM SCHOOL, DR. SIMPLICIO YAP, JR., AND RAUL H. DELOSO, PETITIONERS, VS. MIRAFLOR MABAO, RESPONDENT.",7/23/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69612,FIRST DIVISION,ROSARIO,"ACCORDINGLY, the Petition for Review on Certiorari is DENIED. The Decision dated September 28, 2018 and the Resolution dated January 24, 2020 of the Court of Appeals in CA-G.R. SP No. 11224 are AFFIRMED, with MODIFICATION thus:Declaring Miraflor D. Mabao to have been illegally suspended from employment. Consequently, Bohol Wisdom School, Dr. Simplicio Yap, Jr., and Raul H. Deloso are ORDERED to jointly and solidarity pay Miraflor D. Mabao BACKWAGES from September 22, 2016 to October 7, 2016, and 13th MONTH PAY accruing until November 9, 2016;Ordering Bohol Wisdom School, Dr. Simplicio Yap, Jr., and Raul H. Deloso to jointly and solidarity pay Miraflor D. Mabao the following benefits:Unpaid RICE ALLOWANCE accruing until November 9, 2016;Unpaid LAUNDRY ALLOWANCE accruing until November 9, 2016;Unpaid MIDYEAR BONUS accruing until November 9, 2016;Proportionate VACATION/SICK LEAVE accruing until November 9, 2016.Ordering Bohol Wisdom School, Dr. Simplicio Yap, Jr., and Raul H. Deloso to jointly and solidarity pay ATTORNEY'S FEES of 10% of the total monetary award; andOrdering Bohol Wisdom School, Dr. Simplicio Yap, Jr., and Raul H. Deloso to issue a Certificate of Employment to Miraflor D. Mabao.All monetary awards shall earn legal interest of 6% per annum from the date of finality of this Decision until full satisfaction thereof.Let the records of the case be transmitted to the Labor Arbiter for proper computation of the award in accordance with this Decision.SO ORDERED. Gesmundo, C.J. (Chairperson), Hernando, Zalameda, and Marquez, JJ., concur."," Gesmundo, C.J. (Chairperson), Hernando, Zalameda, and Marquez, JJ., concur.",C,,,C,,,,C,,P,,,C,,
G.R. No. 215166,"EDGAR M. RICO, PETITIONER, VS. ERNIE ""TOTO"" CASTILLO, PIFIANO JUMO, GERRY VILLEGAS, ALFRANCE ALICANTE, FELIX YAGAO, JOHN DOES, AND MARILOU LOPEZ A.K.A. MA. LORETO V. ABELLA-LOPEZ, RESPONDENTS.",7/23/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69712,FIRST DIVISION,MARQUEZ,"ACCORDINGLY, the instant Petition is GRANTED. The Decision dated August 12, 2013 and Resolution dated October 2, 2014 of the Court of Appeals in CA-G.R. SP Nos. 01883-MIN, 02060-MIN, 02079-MIN, and 02215-MIN are REVERSED. The Decision dated May 9, 2007 of the Regional Trial Court in Civil Case No. 31,660-06, which affirmed the Decision dated November 8, 2006 of the Municipal Trial Court in Cities in Civil Case No. 18,988-C-D-06, is REINSTATED. No costs. SO ORDERED. Gesmundo, C.J. (Chairperson), Hernando, Zalameda, and Rosario, JJ., concur. "," Gesmundo, C.J. (Chairperson), Hernando, Zalameda, and Rosario, JJ., concur. ",C,,,C,,,,C,,C,,,P,,
G.R. No. 208788,"QUEZON CITY GOVERNMENT REPRESENTED BY HONORABLE HERBERT M. BAUTISTA, IN HIS CAPACITY AS CITY MAYOR OF QUEZON CITY, AND TOMASITO L. CRUZ, IN HIS CAPACITY AS THE CITY PLANNING AND DEVELOPMENT OFFICER AND ZONING OFFICIAL OF QUEZON CITY, PETITIONERS, VS. MANILA SEEDLING BANK FOUNDATION, INC., REPRESENTED BY ITS PRESIDENT AND CHAIRMAN, LUCITO M. BERTOL,[1] RESPONDENT.  [G.R. No. 228284]  MANILA SEEDLING BANK FOUNDATION, INC., REPRESENTED BY ITS PRESIDENT AND CHAIRMAN, LEONARDO D. LIGERALDE,[2] PETITIONER, VS. QUEZON CITY GOVERNMENT, REPRESENTED BY HON. HERBERT M. BAUTISTA, IN HIS CAPACITY AS CITY MAYOR OF QUEZON CITY, GEN. ELMO SAN DIEGO, IN HIS CAPACITY AS HEAD, DEPARTMENT OF PUBLIC ORDER AND SAFETY (DPOS), ROGER CUARESMA, AND CAMERAN, M.J., AND OTHER MEMBERS OF THE DPOS, RESPONDENTS.",7/23/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69635,EN BANC,HERNANDO,"ACCORDINGLY,

In G.R. No. 208788:

The Petition for Review on Certiorari dated October 9, 2013, filed by the Quezon City Government is DENIED. The Decision dated June 18, 2013, and the Resolution dated August 13, 2013, of the Regional Trial Court of Quezon City, Branch 96 in Special Civil Action No. Q-12-70830 are AFFIRMED WITH MODIFICATIONS:

The Petition (For Prohibition with Application for Preliminary Mandatory Injunction and Prohibitory Injunction and for a Temporary Restraining Order) dated February 20, 2012, filed by Manila Seedling Bank Foundation, Inc. against the Quezon City Government, shall be treated as a Petition for Prohibition and Certiorari, and is GRANTED. Accordingly, the provisions of Ordinance No. SP-918, series of 2000, otherwise known as the Quezon City Zoning Ordinance, and Ordinance No. SP-1369, series of 2003 or the Amended Quezon City Zoning Ordinance, insofar as they infringe on the Manila Seedling Bank Foundation, Inc.'s usufructuary rights under Proclamation No. 1670, are declared NULL and VOID. The rest of the ordinance will remain valid and subsisting.

The injunction issued by the Regional Trial Court commanding the Quezon City Government and its officers, agents, or representatives, to issue the locational clearance and business permit is DISSOLVED on the ground of mootness.

In G.R. No. 228284:

The Petition for Review on Certiorari dated November 25, 2016, and the Petition (For Prohibition and Injunction with Damages and with Application for a Writ of Preliminary Prohibitory and Mandatory Injunction and a Temporary Restraining Order) in SCA No. Q-12-71638, both filed by Manila Seedling Bank Foundation, Inc. against the Quezon City Government are DISMISSED on the ground of mootness.

The Manila Seedling Bank Foundation, Inc. is NOT PRECLUDED from instituting the proper action to declare null and void the foreclosure made by the Quezon City Government, recover possession of their property, and/or seek damages which they may have suffered because of the Quezon City Government's unlawful seizure and deprivation thereof.

SO ORDERED. Gesmundo, C.J., Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Leonen, SAJ., see concurring opinion.
Caguioa,* J., on official leave but left his vote see concurring and dissenting opinion.","Gesmundo, C.J., Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Leonen, SAJ., see concurring opinion.
Caguioa,* J., on official leave but left his vote see concurring and dissenting opinion.",C,C,CD,P,C,C,C,C,C,C,C,C,C,C,C
A.M. No. RTJ-24-071 (Formerly OCA IPI No. 18-4785-RTJ),"BLOOMBERRY RESORTS AND HOTELS, INC., REPRESENTED BY GERARDO R. PALMERO, COMPLAINANT, VS. HON. BRIGIDO ARTEMON M. LUNA II, PRESIDING JUDGE, BRANCH 196, REGIONAL TRIAL COURT, PARA‚àö√´AQUE CITY, RESPONDENT.",7/23/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69590,EN BANC,HERNANDO,"ACCORDINGLY, Judge Brigido Artemon M. Luna II, Presiding Judge of Branch 196, Regional Trial Court of Para‚àö¬±aque City, is found GUILTY of conduct unbecoming of a judge for which he is REPRIMANDED, with a stern warning that a repetition of the same or similar act will be dealt with more severely. SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur. Caguioa,* J., on official leave. Marquez,** J., no part. * On official leave. ** No part. "," Gesmundo, C.J., Leonen, SAJ., Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Kho, Jr., and Singh, JJ., concur. Caguioa,* J., on official leave. Marquez,** J., no part. * On official leave. ** No part. ",C,C,OL,P,C,C,C,C,C,C,C,C,NP,C,C
A.M. No. MTJ-23-017 (Formerly OCA IPI No. 19-3073-MTJ),"ALDRIN B. MAGAOAY, COMPLAINANT, VS. HON. ATENEONES S. BACALE, PRESIDING JUDGE, MUNICIPAL CIRCUIT TRIAL COURT, BILIRAN-CABUCGAYAN, BILIRAN, RESPONDENT.",7/23/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69694,EN BANC,PER CURIAM:,"ACCORDINGLY, the Court finds respondent JUDGE ATENEONES S. BACALE GUILTY of gross misconduct for which he is DISMISSED from the service, with forfeiture of all the benefits due him, except accrued leave benefits, if any, with prejudice to re-employment in any branch of the government, including government-owned or -controlled corporations.Respondent JUDGE ATENEONES S. BACALE is also directed to SHOW CAUSE in writing within 10 days from notice why he should not be disbarred for violation of the Code of Professional Responsibility and Accountability as outlined herein.Let a copy of this Decision be entered into Judge Bacale's record as a member of the bar and notice of the same be served on the Integrated Bar of the Philippines and on the Office of the Court Administrator for circulation to all courts in the country.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Caguioa,* J., on official leave.* On official leave."," Gesmundo, C.J., Leonen, SAJ., Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Caguioa,* J., on official leave.* On official leave.",C,C,OL,C,C,C,C,C,C,C,C,C,C,C,C
G.R. No. 271081 [Formerly UDK-17851],"DEXTER BARGADO Y MORGADO, PETITIONER, VS. PEOPLE OF THE PHILIPPINES, RESPONDENT.",7/29/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69642,SECOND DIVISION,"LOPEZ, J.","ACCORDINGLY, the Petition is GRANTED. The August 11, 2022 Decision and March 30, 2023 Resolution of the Court of Appeals in CA-G.R. CR No. 44964 are REVERSED and SET ASIDE. Petitioner Dexter Bargado y Morgado is ACQUITTED of violation of Section 261, paragraph (q) of Batas Pambansa No. 881.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur.",,C,,,C,C,,,,,P,,,C,
G.R. No. 270580,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. JOSE ROEL BRAGAIS Y SISON AND ALFREDO TACUYO Y EVANGELISTA, ACCUSED-APPELLANTS.",7/29/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69627,SECOND DIVISION,LEONEN,"ACCORDINGLY, the appeal is DISMISSED. The April 19, 2023 Decision of the Court of Appeals in CA-G.R. CR HC No. 15626 is hereby AFFIRMED.Accused-appellants Jose Roel Bragais y Sison and Alfredo Tacuyo y Evangelista are found GUILTY beyond reasonable doubt of murder, for which they are both sentenced to suffer the penalty of reclusion perpetua.They are also directed to PAY the following sums, jointly and severally, to the legal heirs of the victim, Paula Apilado y Viray: PHP 75,000.00 in civil indemnity, PHP 75,000.00 in moral damages, PHP 75,000.00 in exemplary damages, and PHP 50,000.00 in temperate damages.All monetary awards for damages shall earn legal interest of 6% per annum from the date of the finality of this Decision until fully paid.SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,P,,,C,C,,,,,C,,,C,
G.R. No. 268527,"ERIKA KARIZZA T. POLINTAN,* AS SOLE PROPRIETOR OF KARIZ POLINTAN ATELIER, PETITIONER, VS. ARLENE C. MALABANAN, RESPONDENT.",7/29/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69619,SECOND DIVISION,"LOPEZ, J.","ACCORDINGLY, the Petition is DENIED. The February 9, 2023 Decision and August 2, 2023 Resolution of the Court of Appeals in CA-G.R. SP No. 175641 are AFFIRMED.Respondent Arlene C. Malabanan is a regular employee of petitioner Erika Karizza T. Polintan, as sole proprietor of Kariz Polintan Atelier. Petitioner Erika Karizza T. Polintan is ORDERED to REINSTATE respondent Arlene C. Malabanan to her former position without loss of seniority rights or diminution of benefits.Petitioner Erika Karizza T. Polintan, as sole proprietor of Kariz Polintan Atelier, is ORDERED to PAY respondent Arlene C. Malabanan her salary differentials from November 14, 2019 to March 15, 2020, her pro-rated 13th month pay, attorney's fees, and backwages computed from September 16, 2020 up to the day of her actual reinstatement.The monetary awards shall earn interest at the rate of 6% per annum from the date of finality of this Decision until full payment.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur.* Also referred to as ""Karizza Erika T. Polintan"" in some parts of the rollo/records."," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur.*",,C,,,C,C,,,,,P,,,C,
G.R. No. 266636,"PHILHARBOR FERRIES AND PORT SERVICES, INC., PETITIONER, VS. FRANCIS C. CARLOS, RESPONDENT.",7/29/24,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69693,SECOND DIVISION,"LOPEZ, J.","ACCORDINGLY, the Petition is DENIED. The December 19, 2022 Decision and March 30, 2023 Resolution of the Court of Appeals in CA-G.R. CV No. 112692 are AFFIRMED.Petitioner Philharbor Ferries and Port Services, Inc. is ORDERED to pay the respondent Francis C. Carlos the following amounts: PHP 300,000.00 as moral damages; PHP 200,000.00 as exemplary damages; and PHP 100,000.00 as attorney's fees.All damages awarded shall earn a 6% interest per annum from the finality of this Decision until full payment.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur.",,C,,,C,C,,,,,P,,,C,
